country,learners,avg_steps_completed,median_steps_completed,dropout_rate
RU,124,16.338709677419356,3,0.3467741935483871
NG,579,16.20034542314335,4,0.3005181347150259
SG,85,16.058823529411764,4,0.3764705882352941
GI,3,16,13,0.3333333333333333
GY,8,16,2,0.25
SZ,4,16,5,0.5
KH,13,15.76923076923077,4,0.38461538461538464
UA,156,15.756410256410257,2,0.40384615384615385
BI,4,15.75,0.5,0.5
ZM,45,15.733333333333333,3,0.24444444444444444
CZ,34,15.529411764705882,2,0.4411764705882353
PH,85,15.529411764705882,4,0.3411764705882353
MK,17,15.294117647058824,11,0.17647058823529413
IR,30,15.233333333333333,4,0.36666666666666664
SL,14,15.214285714285714,2.5,0.2857142857142857
SV,11,15.181818181818182,7,0.2727272727272727
BG,37,15.135135135135135,3,0.32432432432432434
NO,74,14.91891891891892,4,0.28378378378378377
--,382,14.806282722513089,2,0.39790575916230364
YE,27,14.62962962962963,1,0.48148148148148145
AE,113,14.575221238938052,3,0.3893805309734513
RS,40,14.5,4.5,0.2
QA,29,14.275862068965518,3,0.3103448275862069
KZ,26,14.23076923076923,3.5,0.4230769230769231
TR,131,14.229007633587786,2,0.45038167938931295
HU,34,14.147058823529411,4,0.35294117647058826
HK,53,14.056603773584905,4,0.3018867924528302
MM,98,14.051020408163266,2,0.336734693877551
CO,87,14.045977011494253,3,0.3103448275862069
UG,51,13.980392156862745,2,0.3333333333333333
OM,37,13.91891891891892,5,0.35135135135135137
KE,143,13.874125874125873,4,0.27972027972027974
MD,11,13.818181818181818,1,0.36363636363636365
LS,10,13.8,5,0.3
TW,20,13.8,5,0.3
PE,41,13.78048780487805,3,0.36585365853658536
HR,15,13.466666666666667,4,0.4666666666666667
GT,6,13.333333333333334,1,0.5
AL,62,13.016129032258064,3,0.3709677419354839
CU,1,13,13,0
PL,94,12.98936170212766,2.5,0.3829787234042553
LT,17,12.823529411764707,1,0.4117647058823529
PS,27,12.555555555555555,2,0.4444444444444444
IL,20,12.4,0.5,0.5
ET,47,12.297872340425531,1,0.425531914893617
AR,55,12.254545454545454,4,0.2909090909090909
AZ,23,11.956521739130435,1,0.6086956521739131
UZ,11,11.909090909090908,0,0.5454545454545454
CL,48,11.791666666666666,1,0.4583333333333333
LU,6,11.5,2.5,0.5
TT,25,11.24,3,0.36
ZW,43,10.86046511627907,3,0.3488372093023256
RW,31,10.774193548387096,2,0.3225806451612903
BY,11,10.636363636363637,2,0.2727272727272727
ID,129,10.581395348837209,3,0.3333333333333333
BB,13,10.538461538461538,3,0.15384615384615385
CN,124,10.459677419354838,1,0.5241935483870968
LB,16,10.4375,3,0.25
GM,8,10.25,12,0.125
BA,16,10.1875,2.5,0.25
FJ,7,10.142857142857142,1,0.42857142857142855
ER,1,10,10,0
HT,3,10,7,0.3333333333333333
LY,16,9.9375,1,0.5
SD,59,9.915254237288135,1,0.5084745762711864
DJ,3,9.666666666666666,1,0.3333333333333333
IS,2,9.5,9.5,0
CM,23,9.391304347826088,1,0.5652173913043478
IQ,42,9.380952380952381,1,0.5
BH,14,9.357142857142858,0.5,0.5
LV,5,9.2,2,0.2
BO,13,9.153846153846153,2,0.38461538461538464
AW,1,9,9,0
SA,934,8.853319057815845,1,0.5053533190578159
TZ,73,8.767123287671232,1,0.4794520547945205
BD,128,8.609375,1,0.5234375
IN,1931,8.41170378042465,1,0.4743656136716727
GD,1,8,8,0
GU,1,8,8,0
AF,15,7.733333333333333,1,0.4666666666666667
GE,24,7.708333333333333,0,0.5416666666666666
EG,427,7.414519906323185,0,0.5433255269320844
